state,Air_Pollution,All_Determinants,Binge_Drinking,Cancer_Death,Cardiovascular_Death,Children_in_Poverty,Chlamydia,Cholesterol_Check,Colorectal_Cancer_Screening,Dental_Visit_Annual,Dentists,Diabetes,Disparity_in_Health_Status,Drug_Death,Excessive_Drinking,Fruits,Heart_Attack,Heart_Disease,High_Blood_Pressure,High_Cholesterol,High_Health_Status,High_School_Graduation,Immunization_Adolescents,Immunization_Children,Immunization_Dtap,HPV,Immunization_MCV4,Income_Disparity,Infant_Mortality,Infectious_Disease,Insufficient_Sleep,Lack_of_Health_Insurance,Low_Birthweight,Median_Household_Income,Obesity,Youth_obesity,Occupational_Fatalities,Overall,Personal_Income_Per_Capita,Pertussis,Physical_Activity,Poor_Mental_Health_Days,Poor_Physical_Health_Days,Premature_Death,Preterm_Birth,Preventable_Hospitalizations,Primary_Care_Physicians,Public_Health_Funding,Salmonella,Smoking,Stroke,Suicide,Teen_Birth_Rate,Teeth_Extractions,Underemployment_Rate_value,Vegetables,Violent_Crime,Youth_Smoking,happyscore,happy_bool
AK,4.9,-0.058,19.5,191.8,219.2,15.9,755.8,70.1,58.4,67.4,80.9,7.1,25.7,14.4,21.1,1.4,3.1,3.2,29.8,38.6,53.7,79,52.2,63.9,74.3,27.1,55.2,0.408,4.5,0.72,35.3,19.5,5.7,61137,28.4,12.4,6.1,0.125,50150,48.8,77.7,3.1,3.7,7600,9.2,46.7,113.2,218.51,8.1,22.6,2.2,23.2,34.5,3.9,12.1,2.03,603.2,10.6,5.09676939662,False
AL,10.0,-0.335,11.2,211.5,329.2,26.4,637.6,77.6,67.7,58.6,43.8,13.8,19.4,11.7,12.3,1.15,5.9,5.3,40.3,44.4,44.4,75,65.5,77.0,87.3,39.6,69.5,0.475,8.6,0.65,37.5,13.4,10.0,41381,32.4,17.1,5.3,-0.664,36481,4.4,68.5,4.4,4.9,10008,14.6,71.5,101.9,116.5,23.9,21.5,4.7,15.0,39.2,8.5,12.2,1.75,449.9,18.0,5.18385078282,False
AR,10.3,-0.655,12.5,214.9,313.7,23.8,565.4,72.3,58.4,54.9,41.7,11.5,24.2,12.6,13.7,1.21,5.1,5.3,38.7,42.4,42.7,78,47.5,57.1,77.7,24.4,40.4,0.469,7.2,0.9,36.1,16.2,8.7,39919,34.6,17.8,7.5,-0.934,36698,8.4,65.6,4.4,4.8,9656,13.3,71.6,102.6,98.62,47.8,25.9,4.5,16.7,45.7,9.1,13.7,1.78,469.1,19.1,5.22777959682,True
AZ,9.9,-0.008,13.4,170.2,216.1,27.2,469.6,72.6,60.5,61.6,55.0,10.7,36.6,17.7,14.8,1.36,4.4,4.1,30.7,39.7,52.8,77,69.5,65.1,84.4,37.4,86.7,0.468,5.9,-0.1,34.6,17.3,6.9,50602,26.8,10.7,3.2,-0.039,36983,17.5,74.8,3.9,4.4,7124,11.6,45.2,98.4,43.55,13.3,16.3,2.8,18.0,37.4,4.2,16.0,1.99,428.9,14.1,5.21000951131,True
CA,13.9,0.294,17.4,171.0,234.4,20.3,444.9,75.2,68.7,67.0,78.0,10.2,38.6,11.0,18.9,1.67,3.3,3.1,28.7,37.7,50.7,82,72.6,69.3,91.1,45.8,80.9,0.49,4.6,-0.4,33.7,17.5,6.7,57528,24.1,,3.2,0.348,48434,2.1,78.6,3.8,3.9,5590,9.6,45.3,122.2,104.4,12.1,12.5,2.2,10.5,26.5,2.4,17.3,2.21,423.1,,5.19767842272,True
CO,6.8,0.35,18.5,163.0,197.1,14.0,422.7,76.4,67.2,65.3,69.4,6.5,36.5,14.8,19.9,1.47,3.1,2.5,26.3,34.8,58.3,82,66.6,69.2,87.1,39.1,73.6,0.461,5.1,-0.22,29.0,14.4,8.8,63371,21.3,,4.2,0.574,46897,29.2,82.1,3.3,3.4,5991,10.4,38.2,120.7,85.22,9.9,17.7,1.8,20.2,25.4,3.4,12.5,2.0,308.9,,5.24598320593,True
CT,8.7,0.56,18.2,177.0,216.5,15.3,364.9,83.1,74.0,76.1,79.1,8.3,30.7,11.0,19.5,1.5,3.8,4.0,31.3,37.8,58.4,86,73.8,78.2,90.8,40.1,90.6,0.499,5.1,-0.59,34.9,9.3,7.9,67781,24.9,12.3,2.8,0.738,60658,5.1,75.1,3.5,3.4,5603,9.7,56.7,166.7,71.06,12.4,15.5,2.3,10.0,15.1,3.7,13.9,1.93,283.0,13.5,5.16479478587,False
DC,11.3,,22.4,201.4,288.2,37.2,1101.6,80.9,68.8,71.1,107.6,7.8,28.4,13.9,23.8,1.56,4.1,2.6,28.4,34.0,60.4,71,68.2,76.9,83.1,30.2,91.3,0.532,7.8,,35.8,6.3,9.6,60675,22.8,14.8,4.2,,75329,4.2,80.5,3.6,3.3,8531,,47.2,324.6,435.96,11.3,18.8,3.2,5.7,38.6,3.0,14.1,2.06,1243.7,,5.12801288487,False
DE,10.2,-0.126,17.0,201.9,246.9,22.7,489.2,81.0,73.6,70.0,47.7,11.1,28.8,16.6,18.8,1.32,4.1,4.6,35.6,40.6,51.0,77,72.6,71.8,84.4,51.7,81.8,0.451,8.2,-0.06,36.5,9.0,8.3,52219,31.0,14.2,4.5,-0.225,44815,6.3,72.2,3.6,3.9,7729,12.3,53.9,112.8,105.09,16.3,19.6,3.5,13.5,25.0,5.4,13.5,1.68,547.4,14.2,5.09966297381,False
FL,7.4,-0.098,15.6,182.7,223.0,19.3,407.4,79.5,67.8,59.8,54.7,11.2,29.1,15.2,17.6,1.46,5.6,5.0,34.6,40.3,49.6,75,63.8,70.0,84.8,34.3,72.3,0.484,6.3,0.37,36.8,20.0,8.6,47886,26.4,11.6,3.1,-0.15,41497,3.0,72.3,4.1,4.5,7116,13.7,59.3,110.0,57.98,34.2,16.8,3.7,14.9,28.0,5.7,14.3,1.95,487.1,10.8,5.16513910673,False
GA,10.3,-0.292,13.1,192.3,273.0,23.2,534.0,77.5,69.3,64.1,47.3,10.8,28.0,10.8,14.3,1.29,3.9,3.7,35.0,38.1,49.5,70,64.0,69.8,82.0,33.2,76.9,0.484,6.6,0.45,38.3,18.6,9.3,47439,30.3,12.7,4.4,-0.322,37845,3.2,72.8,3.4,3.8,7624,12.7,60.6,105.4,60.0,26.9,18.8,2.8,12.0,33.8,6.0,14.8,1.87,378.9,12.8,5.1330954153,False
HI,8.7,0.567,18.3,155.3,199.1,12.7,461.2,75.8,66.7,70.4,79.2,8.4,15.5,11.7,19.7,1.35,3.2,2.7,28.5,34.9,49.0,78,63.2,66.5,80.2,34.4,75.0,0.44,5.1,0.18,41.5,6.8,8.1,61408,21.8,13.4,4.6,0.91,45204,5.3,77.9,2.7,3.2,5865,12.2,28.2,140.2,212.86,24.7,13.3,2.7,13.5,28.1,2.0,11.5,1.98,239.2,10.4,5.18869407182,True
IA,9.6,0.074,21.7,191.8,245.4,14.3,371.5,75.7,68.4,71.1,55.7,9.3,30.3,8.5,22.4,1.29,4.7,4.6,31.4,41.1,53.9,89,61.7,78.3,79.6,41.9,63.6,0.443,5.0,0.39,30.9,8.3,6.7,54855,31.3,,6.0,0.217,44763,56.7,71.5,2.9,3.3,6309,11.5,55.7,85.7,55.69,20.3,19.5,2.8,12.6,24.1,5.7,9.2,1.67,263.9,,5.10710502196,False
ID,10.4,0.229,14.9,174.6,230.7,16.0,287.1,69.3,62.6,67.6,59.3,8.4,32.7,12.3,16.2,1.41,3.7,3.6,29.4,38.4,54.6,84,59.2,70.2,74.6,31.3,71.6,0.438,5.2,-0.85,31.5,16.2,6.4,51767,29.6,9.6,3.7,0.337,36146,14.8,76.3,3.7,3.7,6310,10.3,36.4,80.1,136.53,8.5,17.2,2.3,19.4,28.3,4.9,12.7,1.93,207.9,12.2,5.2557282748,True
IL,11.4,-0.066,21.8,197.9,253.9,17.7,526.1,74.0,63.0,66.9,67.5,9.9,30.4,11.1,22.6,1.49,4.1,3.9,30.1,36.6,49.9,82,66.3,66.8,86.2,33.8,79.0,0.482,6.5,0.13,33.9,12.8,8.1,57196,29.4,11.5,5.3,-0.079,46980,15.8,74.9,3.7,3.7,6721,12.0,65.2,133.9,64.34,15.3,18.0,2.8,10.0,27.9,4.7,16.0,1.89,414.8,14.1,5.17791800256,False
IN,11.7,-0.257,15.0,208.2,274.4,14.7,452.7,74.5,62.3,62.6,48.6,11.0,25.7,15.1,16.0,1.29,5.2,4.3,33.5,39.8,49.5,80,72.9,68.5,90.6,34.6,93.5,0.455,7.2,-0.33,36.2,14.1,7.9,50553,31.8,,5.6,-0.381,38622,6.8,69.0,4.0,4.0,7993,10.9,70.0,104.2,44.34,12.0,21.9,3.1,14.5,33.0,7.1,13.2,1.74,345.7,,5.22061725557,True
KS,8.8,0.003,15.4,190.9,245.6,18.1,387.8,73.3,66.7,67.3,52.0,9.6,28.6,10.4,16.2,1.25,4.2,4.2,31.3,38.1,52.8,89,53.8,68.7,84.6,21.0,55.9,0.459,6.3,-0.01,29.2,12.4,7.1,51485,30.0,12.6,5.4,0.077,44417,30.9,73.5,3.1,3.4,7209,11.0,59.9,106.6,49.96,17.1,20.0,3.0,17.7,34.1,5.8,11.0,1.85,354.6,10.2,5.22947694298,True
KY,10.4,-0.487,13.4,228.3,297.3,31.8,395.3,77.0,64.9,60.3,56.4,10.6,24.7,24.0,14.3,1.16,6.0,6.0,39.1,43.2,45.3,82,60.8,72.7,84.4,26.8,71.2,0.472,6.7,-0.2,41.2,14.1,8.7,42158,33.2,18.0,8.2,-0.752,36214,15.3,69.8,4.5,4.9,9575,12.7,94.4,103.0,82.87,16.8,26.5,4.2,16.4,41.5,8.9,15.0,1.72,222.6,17.9,5.18233377088,True
LA,9.2,-0.53,16.3,217.4,307.5,26.5,597.9,76.2,61.5,56.1,49.6,11.6,26.5,12.9,17.7,1.18,5.3,5.0,39.8,40.7,44.4,72,72.6,69.1,87.9,42.1,87.7,0.491,8.2,0.88,37.0,16.7,10.8,39622,33.1,13.5,3.7,-0.803,41204,1.6,67.8,4.2,4.2,9625,15.3,80.3,123.7,69.01,33.7,23.5,4.0,12.5,43.1,9.6,12.7,1.64,496.9,12.1,5.06875604989,False
MA,7.7,0.597,19.4,186.8,206.9,15.3,357.5,84.0,78.0,76.2,85.6,8.5,33.9,12.1,21.1,1.48,3.9,3.3,29.4,36.5,58.5,86,74.6,78.5,94.9,39.3,89.6,0.484,4.2,-0.42,34.7,3.8,7.6,62963,23.6,10.2,3.9,0.741,57248,9.8,76.5,3.8,3.6,5345,10.1,62.7,200.8,106.06,15.7,16.6,2.4,8.8,14.1,4.6,13.2,1.94,405.5,10.7,5.21378340546,True
MD,10.0,0.305,14.2,187.7,250.7,15.3,455.3,81.2,72.3,72.7,74.7,9.8,30.5,12.2,15.7,1.41,3.8,3.3,32.8,37.0,54.6,84,64.9,75.8,83.2,33.4,78.0,0.456,6.6,-0.16,38.8,10.2,8.8,65262,28.3,11.0,2.2,0.354,53826,6.3,74.7,3.3,3.4,6772,12.2,53.8,178.5,76.81,16.3,16.4,3.0,9.8,22.1,4.3,12.5,1.89,476.8,11.9,5.12298896755,False
ME,7.6,0.289,17.2,205.4,215.4,20.9,257.0,81.4,75.5,65.3,51.1,9.6,26.1,11.0,19.3,1.5,5.3,5.0,33.3,39.7,55.6,87,66.7,68.0,83.0,45.8,71.2,0.453,6.6,-0.28,32.4,10.7,6.6,50121,28.9,11.6,3.8,0.303,40924,55.5,76.7,3.8,4.0,6645,9.3,55.1,130.2,82.69,12.1,20.2,2.5,14.8,19.4,8.2,13.7,2.01,122.7,12.8,5.23619142024,True
MI,8.8,-0.1,18.9,199.7,282.4,19.8,481.6,79.4,71.6,68.0,62.3,10.4,29.7,13.9,20.2,1.39,5.2,5.2,34.6,40.6,50.8,77,68.7,70.0,81.0,34.5,90.7,0.464,6.7,-0.3,38.0,11.2,8.4,48801,31.5,13.0,3.2,-0.205,39055,8.6,75.6,3.9,4.1,7574,11.8,64.5,122.2,52.7,10.1,21.4,3.6,12.6,26.3,4.9,15.3,1.81,454.5,11.8,5.15864803107,False
MN,8.0,0.4,21.0,180.9,184.7,14.0,337.8,77.0,72.5,74.8,62.4,7.4,25.3,8.6,22.6,1.37,3.0,3.1,27.0,33.6,58.2,88,65.1,74.1,91.4,37.6,66.3,0.446,4.9,0.22,31.7,8.1,6.6,60907,25.5,,7.2,0.726,47500,77.5,76.5,2.9,2.9,5358,10.2,44.9,145.2,47.55,14.6,18.0,2.1,12.2,18.5,3.3,10.6,1.78,230.9,,5.25252208688,True
MO,10.0,-0.241,17.2,204.8,281.1,19.8,463.1,73.9,66.1,61.8,49.9,9.6,20.5,16.3,18.0,1.23,5.4,4.6,32.0,38.8,51.3,86,57.0,67.9,81.5,28.8,60.7,0.461,6.5,0.02,32.8,13.3,7.7,50311,30.4,14.9,5.4,-0.281,40663,13.6,71.7,3.8,4.0,8120,11.7,64.7,111.8,44.74,17.8,22.1,3.2,15.2,32.2,8.1,11.6,1.79,450.9,14.9,5.18661306458,True
MS,9.3,-0.661,12.4,223.7,346.0,30.5,774.0,74.3,59.8,55.4,41.9,12.9,18.0,10.9,13.4,1.13,5.1,4.9,40.2,41.9,44.5,68,45.2,74.6,60.2,25.2,50.1,0.479,9.1,1.17,36.1,17.1,11.6,40850,35.1,15.4,4.8,-1.0,33913,2.6,61.9,4.3,4.8,10354,17.1,78.5,81.8,64.51,41.9,24.8,4.5,14.1,46.1,8.0,14.6,1.58,260.8,17.2,5.17665747976,False
MT,6.3,0.162,20.8,179.8,224.8,20.3,383.4,73.8,59.4,61.0,61.6,7.7,26.8,12.8,22.2,1.38,4.5,3.5,29.3,35.7,55.3,86,54.7,65.4,84.3,28.3,51.6,0.462,5.9,0.03,30.9,17.2,7.4,44132,24.6,9.4,4.2,0.279,39366,55.0,77.5,3.3,4.0,7480,11.2,47.0,99.7,98.33,10.9,19.0,3.2,23.0,28.8,6.1,11.6,1.95,272.2,15.2,5.26164761905,True
NC,9.0,-0.173,13.0,196.2,252.2,26.8,524.0,79.2,70.3,64.9,46.7,11.4,34.3,12.6,14.1,1.24,4.6,4.6,35.5,41.0,49.8,79,64.9,72.0,89.4,32.8,72.4,0.477,7.3,0.3,35.6,16.1,8.8,41208,29.4,12.5,11.8,-0.287,38683,6.3,73.4,3.6,4.0,7661,12.0,56.7,117.9,49.85,22.8,20.3,3.7,13.2,31.8,6.9,14.7,1.85,353.4,15.0,5.19937478529,True
ND,5.4,0.333,23.8,173.7,226.8,14.1,425.2,73.5,59.9,67.2,56.1,8.9,19.9,3.0,24.9,1.32,4.1,4.1,29.7,36.4,54.0,91,76.6,72.0,95.0,41.1,93.7,0.455,6.3,-0.19,29.5,10.2,6.2,52888,31.0,13.5,3.7,0.55,53182,31.2,72.4,2.7,3.3,6878,9.9,56.1,123.6,108.74,9.6,21.2,2.5,15.0,26.5,5.0,5.6,1.67,244.7,19.0,5.23153169118,True
NE,8.0,0.36,20.0,184.7,224.9,14.3,366.2,74.0,63.2,67.6,63.4,9.2,36.1,7.3,21.0,1.36,4.0,4.1,30.3,37.4,55.2,93,68.4,79.0,86.1,41.5,77.5,0.445,5.1,-0.22,31.8,11.3,6.7,53774,29.6,12.7,4.4,0.502,47157,13.0,74.7,3.0,3.1,6224,11.1,55.8,118.5,80.72,19.2,18.5,2.5,12.7,26.8,4.3,8.0,1.84,259.4,10.9,5.19761043171,True
NH,7.5,0.518,16.8,191.6,213.8,13.5,233.0,81.7,77.4,73.1,64.9,9.2,27.7,13.4,18.4,1.54,4.0,4.1,30.1,36.7,60.7,87,74.5,74.9,94.7,43.2,85.6,0.439,4.5,-0.8,32.3,10.7,7.3,71322,26.7,11.2,3.7,0.678,51013,20.4,77.6,3.5,3.6,5580,9.4,50.7,135.7,57.26,11.8,16.2,2.3,14.5,13.8,4.4,10.9,2.05,187.9,13.8,5.19211613688,True
NJ,9.0,0.337,16.3,185.5,246.8,16.5,309.2,81.0,63.8,71.2,83.0,9.2,30.6,11.6,17.6,1.42,3.9,3.7,31.1,39.2,52.6,87,69.6,72.9,85.5,31.4,91.8,0.48,4.8,-0.59,39.3,13.0,8.2,61782,26.3,8.7,8.8,0.473,55386,15.8,73.2,3.3,3.4,5837,11.2,60.8,143.7,61.28,13.0,15.7,2.5,7.5,16.7,4.2,14.7,1.87,290.2,12.9,5.16704771736,False
NM,7.1,-0.164,14.5,167.1,217.0,28.7,571.4,71.0,59.7,60.9,48.9,10.7,32.4,24.8,15.9,1.33,4.0,3.2,29.5,36.8,46.6,74,66.9,65.7,85.6,44.3,70.9,0.476,6.1,0.65,32.4,18.5,8.8,42127,26.4,12.6,3.0,-0.175,35965,44.4,75.7,3.7,4.2,8445,11.5,50.1,115.6,116.18,16.1,19.1,2.5,21.6,47.5,5.3,13.7,1.96,559.1,14.4,5.26680698234,True
NV,9.3,-0.373,15.2,188.0,271.9,25.3,408.9,74.0,60.2,60.8,53.6,9.6,27.4,22.2,17.4,1.44,4.4,3.4,30.6,38.6,50.8,60,59.9,60.6,88.3,27.4,64.0,0.454,5.3,-0.69,35.4,21.4,8.0,45369,26.2,11.4,3.7,-0.334,39235,4.1,76.3,3.7,3.6,7297,13.0,52.0,85.3,38.54,6.8,19.4,2.9,19.1,33.4,5.4,18.1,2.01,607.6,10.3,5.13802888489,False
NY,8.5,0.37,17.4,179.7,260.8,19.5,516.5,81.3,71.4,67.5,79.5,10.6,35.3,9.4,18.9,1.53,4.7,4.4,31.5,39.1,51.6,78,72.7,72.2,89.5,45.4,83.3,0.51,5.1,0.02,40.1,10.8,7.9,53843,25.4,10.6,4.1,0.389,54462,16.3,73.3,3.7,3.9,5737,10.7,59.2,167.3,149.24,13.1,16.6,2.4,8.5,19.7,4.4,13.8,1.95,406.8,10.6,5.16424064232,True
OH,10.9,-0.249,17.1,207.7,274.6,16.9,460.3,78.2,65.2,67.6,54.0,10.4,25.4,17.5,18.1,1.27,5.3,4.7,33.5,37.5,50.2,84,62.9,61.7,84.4,35.0,69.2,0.465,7.7,-0.33,39.7,11.3,8.6,46398,30.4,13.0,7.1,-0.358,41049,7.7,71.5,3.8,4.0,7928,12.1,71.7,125.0,44.71,11.0,23.4,3.7,13.2,29.8,7.0,13.6,1.71,299.7,15.1,5.19637851651,True
OK,9.7,-0.444,12.7,214.1,322.0,17.8,444.2,73.6,60.4,58.9,50.2,11.0,32.1,19.8,13.4,1.07,5.5,5.1,37.5,41.2,45.4,79,59.9,62.7,78.1,35.4,66.2,0.462,7.4,-0.07,37.3,18.0,8.0,43777,32.5,11.8,3.0,-0.743,41861,4.1,67.0,4.3,4.4,9654,13.0,71.4,84.8,78.83,20.1,23.7,3.5,17.8,47.3,7.6,10.2,1.67,469.3,18.5,5.20205981074,True
OR,6.9,0.376,16.5,192.4,210.5,17.0,347.5,74.4,67.9,65.3,70.6,9.2,28.8,13.1,19.0,1.52,3.8,4.5,31.8,37.0,54.1,78,63.9,66.6,87.0,39.5,65.3,0.46,5.0,-0.49,30.9,14.8,6.1,56307,26.5,,4.4,0.407,39848,23.4,81.5,4.3,4.3,6371,9.1,37.7,131.5,57.65,10.4,17.3,3.1,18.3,23.8,4.7,16.5,2.12,247.6,,5.2586087133,True
